일자,종목,거래대금,시가,고가,저가,종가,순서,시가대비저점,시가베팅,result,pnl
2025-12-23,티엠씨,2207,8.46,9.3,-14.59,-10.78,-0.0330188679245283,손절,-5,NONE,-0.10779999999999999
2025-11-07,싸이닉솔루션,2197,3.63,12.24,0.0,3.15,시저고종,-0.024907749077490774,-5,NONE,0.0315
2025-02-18,유일로보틱스,2184,7.23,26.15,4.0,5.08,0,-0.01291248206599713,10,TP_ONLY,0.13
2025-07-21,세경하이테크,2181,5.64,6.82,-5.52,-3.76,-0.026747195858498704,손절,-5,NONE,-0.037599999999999995
2025-04-22,네이처셀,2156,9.77,9.77,-9.02,-8.42,시고저종,손절,-5,SL_ONLY,-0.05
2025-04-17,삼현,2147,2.08,5.35,-5.57,-3.81,-0.005649717514124294,-0.026928675400291122,-5,NONE,-0.0381
2025-10-27,삼익제약,2051,16.67,29.94,15.23,29.94,시고저종,-0.012345679012345678,10,TP_FIRST,0.13
2025-10-10,원익홀딩스,2045,4.09,23.75,4.09,19.04,시저고종,0,10,TP_ONLY,0.13
2025-12-15,쎄크,2038,10.17,11.5,-4.46,-3.21,-0.00795593635250918,-0.13282732447817835,-5,NONE,-0.0321
2025-01-15,한국첨단소재,2036,17.44,29.02,13.64,22.45,시고저종,-0.020588235294117647,10,TP_FIRST,0.13
2025-05-14,한진칼,2022,4.91,15.47,-18.73,-16.27,시고저종,-0.01708860759493671,10,TP_FIRST,0.13
2025-11-17,로킷헬스케어,1987,3.85,4.76,-9.71,-8.06,-0.04126984126984127,손절,-5,NONE,-0.0806
2025-07-07,쿠콘,1982,0.69,14.62,-4.69,0.28,시저고종,-0.00821917808219178,10,TP_ONLY,0.13
2025-12-11,대성산업,1981,12.05,25.0,2.85,4.92,시고저종,-0.003468208092485549,10,TP_FIRST,0.13
2025-11-26,이노테크,1973,3.14,13.37,-0.55,8.32,-0.004056795131845842,-0.03571428571428571,10,TP_ONLY,0.13
2025-02-20,YG PLUS,1966,4.93,7.48,-5.84,-5.11,시저고종,손절,-5,SL_FIRST,-0.05
2025-06-12,신성델타테크,1961,-1.04,16.58,-1.42,9.66,-0.01819154628143392,-0.003926701570680628,10,TP_ONLY,0.13
2025-04-01,오리엔트정공,1957,9.03,29.07,3.75,21.58,시고저종,손절,24프로이상,TP_FIRST,0.13
2025-01-03,아톤,1949,6.01,21.9,5.01,11.64,-0.0203125,-0.009445100354191263,10,TP_ONLY,0.13
2025-07-16,청담글로벌,1948,-1.29,4.41,-3.98,-1.21,시저고종,-0.027262813522355506,10,NONE,-0.0121
2025-06-13,흥구석유,1938,10.46,25.31,7.14,19.24,-0.040926640926640924,0,10,TP_ONLY,0.13
2025-04-16,상지건설,1932,13.77,29.94,10.78,29.94,-0.042042042042042045,-0.02236842105263158,10,TP_ONLY,0.13
2025-06-09,갤럭시아머니트리,1906,7.0,12.76,-7.0,5.19,-0.04170212765957447,손절,-5,NONE,0.0519
2025-04-17,포바이포,1901,16.0,29.89,16.0,29.89,시고저종,0,10,TP_FIRST,0.13
2025-09-02,현대무벡스,1892,5.12,11.4,1.65,7.11,시고저종,-0.0330188679245283,10,NONE,0.0711
2025-06-18,신풍제약,1875,10.03,24.02,0.78,10.75,0,-0.036026200873362446,10,TP_ONLY,0.13
2025-12-22,알지노믹스,1867,2.89,12.69,-5.33,6.31,-0.006802721088435374,-0.07987220447284345,-5,NONE,0.06309999999999999
2025-06-09,다날,1844,2.41,29.9,2.41,29.9,시고저종,0,10,TP_FIRST,0.13
2025-11-12,솔루스첨단소재,1822,-2.52,29.52,-8.66,-7.82,시고저종,-0.026747195858498704,10,TP_FIRST,0.13
2025-03-06,M83,1813,1.81,5.7,-6.89,-4.77,시저고종,손절,-5,SL_FIRST,-0.05
2025-06-09,ls마린솔루션,1803,0.0,21.09,-0.56,10.02,시저고종,-0.005649717514124294,10,TP_ONLY,0.13
2025-04-09,kbi동양철관,1793,2.87,16.39,-2.87,7.79,0,-0.055714285714285716,-5,TP_ONLY,0.13
2025-01-06,수젠텍,1793,-3.4,-2.74,-10.54,-3.95,시고저종,-0.07386363636363637,-5,SL_ONLY,-0.05
2025-02-17,오름테라퓨틱,1790,12.9,29.86,10.07,29.86,시고저종,-0.025039123630672927,10,TP_FIRST,0.13
2025-06-30,kbi동양철관,1783,-0.67,7.9,-2.07,1.16,시고저종,-0.00795593635250918,-5,NONE,0.0116
2025-09-10,삼영엠텍,1773,2.89,2.95,-5.46,-0.63,-0.014634146341463415,손절,-5,NONE,-0.0063
2025-06-18,심플랫폼,1769,3.58,9.92,-3.63,-1.67,시저고종,-0.06959910913140312,-5,NONE,-0.0167
2025-02-06,온코크로스,1766,-3.6,2.52,-7.57,-4.9,시고저종,-0.04126984126984127,10,SL_ONLY,-0.05
2025-04-18,제주은행,1745,1.96,5.98,-6.16,-3.24,시고저종,-0.07961504811898512,-5,SL_ONLY,-0.05
2025-03-11,대봉엘에스,1734,2.95,2.95,-5.04,-3.48,-0.006433823529411764,손절,-5,NONE,-0.0348
2025-12-22,켄코아에어로스페이스,1719,11.4,20.17,-10.02,-3.16,-0.02040816326530612,-0.038461538461538464,-5,TP_ONLY,0.13
2025-12-10,동양고속,1712,5.23,29.99,4.8,29.99,-0.00782122905027933,-0.004056795131845842,10,TP_ONLY,0.13
2025-05-07,포바이포,1708,3.49,26.49,-6.37,10.47,시고저종,-0.09523809523809523,-5,TP_FIRST,0.13
2025-04-15,한국피아이엠,1707,0.0,19.58,-1.82,8.61,시고저종,-0.01819154628143392,10,TP_FIRST,0.13
2025-05-14,HD현대에너지솔루션,1693,1.7,3.18,-9.42,-8.74,0,손절,-5,NONE,-0.0874
2025-02-07,어보브반도체,1674,-1.01,9.59,-3.02,2.55,시저고종,-0.0203125,10,NONE,0.0255
2025-05-08,상지건설,1667,15.12,26.41,2.37,5.53,시고저종,-0.043137254901960784,10,TP_FIRST,0.13
2025-04-18,경남스틸,1662,-5.86,2.99,-16.19,-13.78,0,-0.10975609756097561,-5,NONE,-0.1378
2025-02-10,피아이이,1630,16.75,26.44,2.88,6.54,시저고종,-0.02914798206278027,-5,TP_ONLY,0.13
2025-03-13,한국첨단소재,1620,1.25,1.41,-7.04,-1.88,0,-0.08191653786707882,-5,NONE,-0.018799999999999997
2025-01-23,대영포장,1617,-9.8,-8.69,-25.12,-22.49,-0.001563314226159458,손절,-5,NONE,-0.2249
2025-04-16,포바이포,1605,-1.75,29.97,-5.77,29.97,-0.00510204081632653,-0.040926640926640924,10,TP_ONLY,0.13
2025-09-15,한라캐스트,1600,0.3,25.3,-3.92,15.51,-0.029850746268656716,-0.042042042042042045,10,TP_ONLY,0.13
2025-09-11,한선엔지니어링,1596,2.44,9.76,-1.83,0.26,시고저종,-0.04170212765957447,-5,NONE,0.0026
2025-10-15,케이엔알시스템,1595,-1.69,2.32,-11.39,-2.74,-0.02608695652173913,-0.09871244635193133,-5,NONE,-0.0274
2025-03-18,온코닉테라퓨틱스,1582,4.38,4.6,-6.43,-4.88,-0.016930022573363433,손절,-5,NONE,-0.048799999999999996
2025-06-09,카카오페이,1573,4.85,20.81,4.85,12.32,시고저종,0,10,TP_FIRST,0.13
2025-08-01,우양,1570,-1.78,9.13,-2.45,0.11,-0.015580736543909348,-0.006802721088435374,10,NONE,0.0011
2025-10-23,한라IMS,1552,3.61,6.49,-9.52,-8.13,시고저종,-0.0728538283062645,-5,SL_ONLY,-0.05
2025-11-03,티로보틱스,1545,-0.84,7.11,-6.07,1.46,-0.03333333333333333,-0.052742616033755275,-5,NONE,0.0146
2025-02-10,삼양엔씨켐,1544,2.03,29.8,-4.51,29.8,시고저종,-0.06415929203539823,-5,TP_FIRST,0.13
2025-01-02,레인보우로보틱스,1538,6.38,12.77,-3.31,10.17,시고저종,-0.09111111111111111,-5,NONE,0.1017
2025-08-20,콜마비앤에이치,1536,2.99,17.51,-3.45,-2.71,-0.0008628127696289905,0,10,TP_ONLY,0.13
2025-07-25,미투온,1527,6.04,7.18,-3.92,-0.82,시저고종,-0.09384615384615384,-5,NONE,-0.008199999999999999
2025-04-15,하이스틸,1517,-1.36,5.26,-4.87,-1.75,시고저종,손절,-5,NONE,-0.0175
2025-01-06,랩지노믹스,1502,6.12,8.82,-2.13,5.55,시고저종,-0.0777479892761394,-5,NONE,0.0555
2025-06-13,한국석유,1501,-14.71,1.66,-17.4,1.16,시고저종,-0.031545741324921134,10,SL_ONLY,-0.05
2025-04-30,상지건설,1486,-20.81,-0.16,-25.16,-15.32,-0.0064,-0.054989816700611,-5,NONE,-0.1532
2025-10-23,이수화학,1453,4.49,29.97,2.96,21.41,-0.04311377245508982,-0.014634146341463415,10,TP_ONLY,0.13
2025-11-14,씨어스테크놀로지,1447,-0.15,7.38,-9.23,0.54,-0.026785714285714284,-0.09090909090909091,-5,NONE,0.0054
2025-04-10,에어레인,1440,7.59,8.93,-2.23,0.67,-0.026128266033254157,손절,-5,NONE,0.0067
2025-06-19,한미글로벌,1435,10.62,13.27,-4.87,-3.98,시저고종,손절,-5,TP_ONLY,0.13
2025-10-24,강원에너지,1428,5.52,6.18,-6.58,-6.18,-0.04732080723729993,-0.1146817895400126,-5,NONE,-0.061799999999999994
2025-02-26,엠오티,1418,7.33,11.88,-4.95,-2.08,시고저종,손절,-5,NONE,-0.0208
2025-05-07,상지건설,1398,7.77,29.91,7.33,29.91,,-0.004081632653061225,10,TP_ONLY,0.13
2025-11-25,알트,1390,7.33,16.7,-3.36,-2.34,,-0.009487666034155597,-5,TP_ONLY,0.13
