stk_cd,t1_dt,t1_open,entry,tp,sl,result,entry_tm,tp_tm,sl_tm,rows,data_quality
010770,20250513,13360.0,12959.199999999999,13866.344,12440.831999999999,SL_FIRST,20250513132200,20250513150600,20250513133600,373,OK
010770,20250521,9000.0,8730.0,9341.1,8380.8,TP_ONLY,20250521090200,20250521091000,,379,OK
010960,20250422,4730.0,4588.099999999999,4909.267,4404.575999999999,TP_FIRST,20250422090300,20250422090400,20250422090800,377,OK
011000,20250523,3565.0,3458.0499999999997,3700.1135,3319.7279999999996,TP_ONLY,20250523090300,20250523090300,,380,OK
011080,20250402,1758.0,1705.26,1824.6282,1637.0495999999998,NO_ENTRY,,,,380,OK
011080,20250403,2415.0,2342.5499999999997,2506.5285,2248.8479999999995,NO_ENTRY,,,,376,OK
011080,20250416,2205.0,2138.85,2288.5695,2053.296,SL_ONLY,20250416123700,,20250416132600,382,OK
011080,20250502,1661.0,1611.1699999999998,1723.9519,1546.7232,NO_ENTRY,,,,376,OK
011080,20250703,1106.0,1072.82,1147.9174,1029.9071999999999,NO_ENTRY,,,,379,OK
011090,20250403,787.0,763.39,816.8273,732.8543999999999,NO_ENTRY,,,,376,OK
011090,20250404,899.0,872.03,933.0721,837.1487999999999,SL_FIRST,20250404090100,20250404095000,20250404090200,360,OK
011090,20251205,681.0,660.5699999999999,706.8099,634.1471999999999,NONE_AFTER_ENTRY,20251205150200,,,380,OK
011155,20250416,22150.0,21485.5,22989.485,20626.079999999998,SL_ONLY,20250416100000,,20250416103000,15,LOW_ROWS
011155,20251226,16700.0,16199.0,17332.93,15551.039999999999,NONE_AFTER_ENTRY,20251226140000,,,15,LOW_ROWS
011300,20251014,548.0,531.56,568.7692,510.29759999999993,TP_FIRST,20251014090100,20251014090100,20251014090300,378,OK
012160,20250428,565.0,548.05,586.4135,526.1279999999999,TP_FIRST,20250428090200,20250428090200,20250428090900,372,OK
012170,20250402,4845.0,4699.65,5028.6255,4511.664,TP_ONLY,20250402090100,20250402090700,,369,OK
012170,20250807,3485.0,3380.45,3617.0815000000002,3245.2319999999995,NONE_AFTER_ENTRY,20250807145700,,,379,OK
012170,20250820,4445.0,4311.65,4613.4655,4139.183999999999,SL_ONLY,20250820100200,,20250820101400,377,OK
012200,20251219,2580.0,2502.6,2677.782,2402.4959999999996,NO_ENTRY,,,,216,OK
012200,20251222,3270.0,3171.9,3393.9330000000004,3045.024,TP_FIRST,20251222090200,20251222090200,20251222090300,226,OK
012200,20251223,4475.0,4340.75,4644.6025,4167.12,NO_ENTRY,,,,246,OK
012200,20251224,5450.0,5286.5,5656.555,5075.04,TP_FIRST,20251224090200,20251224090300,20251224091400,368,OK
012200,20251229,6630.0,6431.099999999999,6881.277,6173.855999999999,NONE_AFTER_ENTRY,20251229090200,,,313,OK
012205,20251219,5640.0,5470.8,5853.756,5251.968,NO_ENTRY,,,,14,LOW_ROWS
012205,20251222,7330.0,7110.099999999999,7607.807,6825.695999999999,NO_ENTRY,,,,14,LOW_ROWS
012205,20251223,9520.0,9234.4,9880.808,8865.024,NO_ENTRY,,,,14,LOW_ROWS
012205,20251224,12370.0,11998.9,12838.823,11518.944,SL_ONLY,20251224093000,,20251224093000,15,LOW_ROWS
012205,20251229,12370.0,11998.9,12838.823,11518.944,NO_ENTRY,,,,15,LOW_ROWS
012340,20251204,543.0,526.71,563.5797000000001,505.64160000000004,SL_ONLY,20251204090100,,20251204091600,378,OK
012340,20251211,612.0,593.64,635.1948,569.8944,SL_ONLY,20251211090100,,20251211090100,373,OK
012700,20250516,5580.0,5412.599999999999,5791.482,5196.096,NO_ENTRY,,,,380,OK
013360,20250402,4400.0,4268.0,4566.76,4097.28,SL_FIRST,20250402090000,20250402135500,20250402090200,377,OK
013360,20251205,2130.0,2066.1,2210.727,1983.456,NO_ENTRY,,,,377,OK
013580,20250409,22000.0,21340.0,22833.800000000003,20486.399999999998,SL_FIRST,20250409090000,20250409090700,20250409090100,379,OK
013580,20250421,27950.0,27111.5,29009.305,26027.039999999997,NO_ENTRY,,,,357,OK
014160,20250409,2505.0,2429.85,2599.9395,2332.656,SL_ONLY,20250409090000,,20250409090300,380,OK
014160,20250513,2005.0,1944.85,2080.9895,1867.0559999999998,SL_ONLY,20250513090300,,20250513090500,379,OK
014280,20251020,7890.0,7653.3,8189.031000000001,7347.168,TP_FIRST,20251020090200,20251020091600,20251020093200,378,OK
014285,20250930,8840.0,8574.8,9175.036,8231.807999999999,SL_ONLY,20250930093000,,20250930093000,15,LOW_ROWS
014285,20251020,12200.0,11834.0,12662.380000000001,11360.64,SL_ONLY,20251020093000,,20251020093000,15,LOW_ROWS
014285,20251229,16500.0,16005.0,17125.350000000002,15364.8,SL_ONLY,20251229093000,,20251229093000,15,LOW_ROWS
014710,20250409,7500.0,7275.0,7784.25,6984.0,SL_ONLY,20250409090200,,20250409090200,379,OK
014950,20251029,16410.0,15917.699999999999,17031.939,15280.991999999998,SL_ONLY,20251029090300,,20251029090300,201,OK
014950,20251030,21300.0,20661.0,22107.27,19834.559999999998,NONE_AFTER_ENTRY,20251030090200,,,212,OK
014950,20251031,23750.0,23037.5,24650.125,22116.0,SL_ONLY,20251031090200,,20251031090200,375,OK
014950,20251119,19300.0,18721.0,20031.47,17972.16,TP_ONLY,20251119090100,20251119090800,,378,OK
014970,20250423,4200.0,4074.0,4359.18,3911.04,NO_ENTRY,,,,187,LOW_ROWS
014970,20250424,6310.0,6120.7,6549.149,5875.871999999999,NONE_AFTER_ENTRY,20250424092000,,,171,LOW_ROWS
014970,20250425,8200.0,7954.0,8510.78,7635.84,NO_ENTRY,,,,271,OK
014970,20250428,10660.0,10340.199999999999,11064.014,9926.591999999999,NO_ENTRY,,,,247,OK
014970,20250512,10130.0,9826.1,10513.927000000001,9433.056,SL_ONLY,20250512090200,,20250512090500,379,OK
014970,20250521,7930.0,7692.099999999999,8230.547,7384.415999999999,SL_ONLY,20250521090000,,20250521090100,378,OK
014970,20250530,7390.0,7168.3,7670.081000000001,6881.568,NO_ENTRY,,,,378,OK
014970,20250704,7850.0,7614.5,8147.515,7309.92,TP_FIRST,20250704090100,20250704090400,20250704144800,379,OK
014970,20250714,11300.0,10961.0,11728.27,10522.56,TP_ONLY,20250714090200,20250714092800,,378,OK
015020,20250402,1999.0,1939.03,2074.7621,1861.4687999999999,SL_FIRST,20250402090200,20250402134200,20250402091500,378,OK
015260,20250711,626.0,607.22,649.7254,582.9312,TP_FIRST,20250711090200,20250711090800,20250711110300,377,OK
015260,20250904,676.0,655.72,701.6204,629.4912,SL_ONLY,20250904090000,,20250904090500,378,OK
