code,name,lastPrice,marketCode,marketName,mrkt_tp
481190,SOL 미국테크TOP10,00015675,8,ETF,0
481340,RISE 미국30년국채액티브,00009920,8,ETF,0
481430,RISE 국고채10년액티브,00102765,8,ETF,0
481850,신한글로벌액티브리츠,00001204,6,리츠,0
482030,KoAct 반도체&2차전지핵심소재액티브,00012940,8,ETF,0
482730,TIGER 미국S&P500타겟데일리커버드콜,00011535,8,ETF,0
483020,KIWOOM 의료AI,00014600,8,ETF,0
483030,KIWOOM 미국블록버스터바이오테크의약품+,00011455,8,ETF,0
483240,TIGER 미국나스닥100ETF선물,00012180,8,ETF,0
483280,KODEX 미국AI테크TOP10타겟커버드콜,00011795,8,ETF,0
483290,KODEX 미국배당다우존스타겟커버드콜,00010410,8,ETF,0
483320,ACE 엔비디아밸류체인액티브,00018320,8,ETF,0
483330,ACE 마이크로소프트밸류체인액티브,00011685,8,ETF,0
483340,ACE 구글밸류체인액티브,00017620,8,ETF,0
483420,ACE 애플밸류체인액티브,00018225,8,ETF,0
483570,KCGI 미국S&P500 TOP10,00014640,8,ETF,0
483650,달바글로벌,00171900,0,거래소,0
484790,KODEX 미국30년국채액티브(H),00009030,8,ETF,0
484870,엠앤씨솔루션,00133000,0,거래소,0
484880,SOL 금융지주플러스고배당,00023570,8,ETF,0
484890,SOL 머니마켓액티브,00051845,8,ETF,0
485540,KODEX 미국AI테크TOP10,00014010,8,ETF,0
485690,RISE 미국AI밸류체인TOP3Plus,00016920,8,ETF,0
485810,TIME 글로벌바이오액티브,00010390,8,ETF,0
486240,DAISHIN343 AI반도체&인프라액티브,00023605,8,ETF,0
486290,TIGER 미국나스닥100타겟데일리커버드콜,00010125,8,ETF,0
486450,SOL 미국AI전력인프라,00021380,8,ETF,0
486830,HANARO 머니마켓액티브,00052450,8,ETF,0
487130,KoAct AI인프라액티브,00023455,8,ETF,0
487230,KODEX 미국AI전력핵심인프라,00020385,8,ETF,0
487240,KODEX AI전력핵심설비,00035525,8,ETF,0
487340,ACE 머니마켓액티브,00104055,8,ETF,0
487570,HS효성,00066100,0,거래소,0
487750,BNK 온디바이스AI,00023425,8,ETF,0
487910,ACE 인도컨슈머파워액티브,00009300,8,ETF,0
487920,ACE 인도시장대표BIG5그룹액티브,00008710,8,ETF,0
