gap_bin,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
3~7,0.95,0.07,0.05,74,27,36,0.36486486486486486,-0.00020262892934482082,2,9,10,20
3~7,0.95,0.07,0.06,74,33,28,0.44594594594594594,0.004579370025900285,0,13,10,20
3~7,0.95,0.08,0.03,74,15,56,0.20270270270270271,-0.006336990695019524,2,1,10,20
3~7,0.95,0.08,0.04,74,18,49,0.24324324324324326,-0.00767211626541901,2,5,10,20
3~7,0.95,0.08,0.05,74,24,40,0.32432432432432434,-0.00249992622664212,1,9,10,20
3~7,0.95,0.08,0.06,74,30,31,0.40540540540540543,0.0033631538096840666,0,13,10,20
3~7,0.95,0.09,0.03,74,14,57,0.1891891891891892,-0.005931585289614119,2,1,10,20
3~7,0.95,0.09,0.04,74,17,50,0.22972972972972974,-0.006996440589743335,2,5,10,20
3~7,0.95,0.09,0.05,74,22,41,0.2972972972972973,-0.0019876919860433453,1,10,10,20
3~7,0.95,0.09,0.06,74,29,31,0.3918918918918919,0.006578090752985543,0,14,10,20
3~7,0.95,0.1,0.03,74,13,59,0.17567567567567569,-0.005844027970935518,0,2,10,20
3~7,0.95,0.1,0.04,74,16,52,0.21621621621621623,-0.006773748135929598,0,6,10,20
3~7,0.95,0.1,0.05,74,20,43,0.2702702702702703,-0.002710945478175554,0,11,10,20
3~7,0.95,0.1,0.06,74,26,33,0.35135135135135137,0.0051791615851776605,0,15,10,20
3~7,0.96,0.05,0.03,76,28,43,0.3684210526315789,0.0014473684210526332,5,0,8,20
3~7,0.96,0.05,0.04,76,32,38,0.42105263157894735,0.0010596155995083257,5,1,8,20
3~7,0.96,0.05,0.05,76,34,34,0.4473684210526316,-0.0013068773774528003,3,5,8,20
3~7,0.96,0.05,0.06,76,40,28,0.5263157894736842,0.002459789979373573,2,6,8,20
3~7,0.96,0.06,0.03,76,26,48,0.34210526315789475,0.0015789473684210526,2,0,8,20
3~7,0.96,0.06,0.04,76,29,44,0.3815789473684211,-0.0002561738741758869,2,1,8,20
3~7,0.96,0.06,0.05,76,31,38,0.40789473684210525,-0.0018331931669264866,2,5,8,20
3~7,0.96,0.06,0.06,76,37,32,0.4868421052631579,0.0021966320846367286,1,6,8,20
3~7,0.96,0.07,0.03,76,19,54,0.25,-0.0037697084845734995,2,1,8,20
3~7,0.96,0.07,0.04,76,24,48,0.3157894736842105,-0.0031048297271704384,2,2,8,20
3~7,0.96,0.07,0.05,76,26,42,0.34210526315789475,-0.004945006914657881,2,6,8,20
3~7,0.96,0.07,0.06,76,32,36,0.42105263157894735,-0.0006520237683578218,1,7,8,20
3~7,0.96,0.08,0.03,76,16,57,0.21052631578947367,-0.005611813747731395,2,1,8,20
3~7,0.96,0.08,0.04,76,21,51,0.27631578947368424,-0.004683777095591492,2,2,8,20
3~7,0.96,0.08,0.05,76,23,45,0.3026315789473684,-0.006655533230447356,2,6,8,20
3~7,0.96,0.08,0.06,76,28,38,0.3684210526315789,-0.0023797972598399732,1,9,8,20
3~7,0.96,0.09,0.03,76,15,60,0.19736842105263158,-0.005874971642468238,0,1,8,20
3~7,0.96,0.09,0.04,76,19,54,0.25,-0.005660267233980946,0,3,8,20
3~7,0.96,0.09,0.05,76,22,47,0.2894736842105263,-0.005921497053047336,0,7,8,20
3~7,0.96,0.09,0.06,76,26,40,0.34210526315789475,-0.0024352347666504797,0,10,8,20
3~7,0.96,0.1,0.03,76,14,61,0.18421052631578946,-0.005611813747731394,0,1,8,20
3~7,0.96,0.1,0.04,76,18,55,0.23684210526315788,-0.0050023724971388385,0,3,8,20
3~7,0.96,0.1,0.05,76,21,48,0.27631578947368424,-0.005000444421468386,0,7,8,20
3~7,0.96,0.1,0.06,76,24,42,0.3157894736842105,-0.0032247084508610032,0,10,8,20
3~7,0.97,0.05,0.03,76,30,40,0.39473684210526316,0.0039473684210526334,6,0,8,20
3~7,0.97,0.05,0.04,76,35,39,0.4605263157894737,0.002500000000000001,2,0,8,20
3~7,0.97,0.05,0.05,76,39,35,0.5131578947368421,0.002631578947368421,2,0,8,20
3~7,0.97,0.05,0.06,76,42,29,0.5526315789473685,0.0032258125791879487,2,3,8,20
3~7,0.97,0.06,0.03,76,26,45,0.34210526315789475,0.0026731154227552525,4,1,8,20
3~7,0.97,0.06,0.04,76,29,44,0.3815789473684211,-0.0003532003667184332,2,1,8,20
3~7,0.97,0.06,0.05,76,34,39,0.4473684210526316,0.0010941680543341973,2,1,8,20
3~7,0.97,0.06,0.06,76,37,33,0.4868421052631579,0.0015568227387853038,2,4,8,20
3~7,0.97,0.07,0.03,76,22,50,0.2894736842105263,0.0004362733174920971,3,1,8,20
3~7,0.97,0.07,0.04,76,25,48,0.32894736842105265,-0.002326884577244746,2,1,8,20
3~7,0.97,0.07,0.05,76,30,43,0.39473684210526316,-0.000747937208823694,2,1,8,20
3~7,0.97,0.07,0.06,76,33,37,0.4342105263157895,-0.0004168614717410077,2,4,8,20
3~7,0.97,0.08,0.03,76,20,54,0.2631578947368421,-0.00035320036671843065,1,1,8,20
3~7,0.97,0.08,0.04,76,23,52,0.3026315789473684,-0.003247937208823695,0,1,8,20
3~7,0.97,0.08,0.05,76,27,47,0.35526315789473684,-0.002520111930702349,0,2,8,20
3~7,0.97,0.08,0.06,76,30,41,0.39473684210526316,-0.002320615140988084,0,5,8,20
3~7,0.97,0.09,0.03,76,18,57,0.23684210526315788,-0.0012742529982973792,0,1,8,20
3~7,0.97,0.09,0.04,76,20,55,0.2631578947368421,-0.005353200366718433,0,1,8,20
