stk_cd,t1_dt,tried
019660,20250211,019660|019660_NX|019660_AL
019685,20231204,019685|019685_NX|019685_AL
019685,20240105,019685|019685_NX|019685_AL
019990,20240528,019990|019990_NX|019990_AL
020400,20231222,020400|020400_NX|020400_AL
020400,20240102,020400|020400_NX|020400_AL
020400,20241122,020400|020400_NX|020400_AL
021050,20230503,021050|021050_NX|021050_AL
021050,20230803,021050|021050_NX|021050_AL
021050,20230804,021050|021050_NX|021050_AL
021050,20230808,021050|021050_NX|021050_AL
021050,20230816,021050|021050_NX|021050_AL
021050,20230817,021050|021050_NX|021050_AL
021050,20230925,021050|021050_NX|021050_AL
021880,20231227,021880|021880_NX|021880_AL
021880,20240813,021880|021880_NX|021880_AL
022100,20230418,022100|022100_NX|022100_AL
023350,20241212,023350|023350_NX|023350_AL
023440,20230721,023440|023440_NX|023440_AL
023790,20231114,023790|023790_NX|023790_AL
023790,20231215,023790|023790_NX|023790_AL
023790,20231219,023790|023790_NX|023790_AL
023960,20230424,023960|023960_NX|023960_AL
023960,20230718,023960|023960_NX|023960_AL
024060,20231011,024060|024060_NX|024060_AL
024060,20240105,024060|024060_NX|024060_AL
024060,20240403,024060|024060_NX|024060_AL
024060,20240604,024060|024060_NX|024060_AL
024060,20240801,024060|024060_NX|024060_AL
024120,20230413,024120|024120_NX|024120_AL
024740,20241023,024740|024740_NX|024740_AL
024830,20250120,024830|024830_NX|024830_AL
024830,20250121,024830|024830_NX|024830_AL
024840,20230421,024840|024840_NX|024840_AL
024840,20240416,024840|024840_NX|024840_AL
024840,20240514,024840|024840_NX|024840_AL
024840,20240802,024840|024840_NX|024840_AL
024850,20230202,024850|024850_NX|024850_AL
024850,20230203,024850|024850_NX|024850_AL
024850,20230206,024850|024850_NX|024850_AL
024850,20230407,024850|024850_NX|024850_AL
024880,20230223,024880|024880_NX|024880_AL
024890,20230518,024890|024890_NX|024890_AL
024890,20241114,024890|024890_NX|024890_AL
024900,20230426,024900|024900_NX|024900_AL
024900,20231129,024900|024900_NX|024900_AL
024910,20240705,024910|024910_NX|024910_AL
024940,20230925,024940|024940_NX|024940_AL
024940,20241118,024940|024940_NX|024940_AL
025320,20230822,025320|025320_NX|025320_AL
025440,20250121,025440|025440_NX|025440_AL
025530,20230511,025530|025530_NX|025530_AL
025560,20230818,025560|025560_NX|025560_AL
025560,20230821,025560|025560_NX|025560_AL
025560,20240329,025560|025560_NX|025560_AL
025560,20241101,025560|025560_NX|025560_AL
025620,20230111,025620|025620_NX|025620_AL
025620,20230120,025620|025620_NX|025620_AL
025620,20230811,025620|025620_NX|025620_AL
025820,20230404,025820|025820_NX|025820_AL
025900,20230906,025900|025900_NX|025900_AL
025900,20250220,025900|025900_NX|025900_AL
025950,20230901,025950|025950_NX|025950_AL
025950,20230919,025950|025950_NX|025950_AL
025950,20240103,025950|025950_NX|025950_AL
025950,20241205,025950|025950_NX|025950_AL
025950,20241206,025950|025950_NX|025950_AL
025950,20241210,025950|025950_NX|025950_AL
025950,20250103,025950|025950_NX|025950_AL
026040,20230112,026040|026040_NX|026040_AL
026910,20240830,026910|026910_NX|026910_AL
026960,20241023,026960|026960_NX|026960_AL
027050,20230811,027050|027050_NX|027050_AL
027360,20241114,027360|027360_NX|027360_AL
027360,20241115,027360|027360_NX|027360_AL
027580,20230623,027580|027580_NX|027580_AL
027830,20240112,027830|027830_NX|027830_AL
027830,20240522,027830|027830_NX|027830_AL
027830,20241212,027830|027830_NX|027830_AL
027970,20241015,027970|027970_NX|027970_AL
028080,20230223,028080|028080_NX|028080_AL
028080,20230428,028080|028080_NX|028080_AL
028080,20231010,028080|028080_NX|028080_AL
028080,20240814,028080|028080_NX|028080_AL
028080,20241217,028080|028080_NX|028080_AL
028080,20241219,028080|028080_NX|028080_AL
028080,20250113,028080|028080_NX|028080_AL
028300,20230221,028300|028300_NX|028300_AL
028300,20240704,028300|028300_NX|028300_AL
030350,20240318,030350|030350_NX|030350_AL
030350,20241209,030350|030350_NX|030350_AL
030350,20250114,030350|030350_NX|030350_AL
030520,20240109,030520|030520_NX|030520_AL
030530,20240205,030530|030530_NX|030530_AL
030530,20241104,030530|030530_NX|030530_AL
030530,20250224,030530|030530_NX|030530_AL
030960,20230421,030960|030960_NX|030960_AL
031510,20230120,031510|031510_NX|031510_AL
031860,20240220,031860|031860_NX|031860_AL
031860,20240513,031860|031860_NX|031860_AL
031860,20240819,031860|031860_NX|031860_AL
031860,20241203,031860|031860_NX|031860_AL
031860,20241211,031860|031860_NX|031860_AL
032280,20241210,032280|032280_NX|032280_AL
032300,20231206,032300|032300_NX|032300_AL
032300,20241017,032300|032300_NX|032300_AL
032350,20230811,032350|032350_NX|032350_AL
032500,20230920,032500|032500_NX|032500_AL
032580,20230530,032580|032580_NX|032580_AL
032580,20230531,032580|032580_NX|032580_AL
032580,20231019,032580|032580_NX|032580_AL
032580,20231211,032580|032580_NX|032580_AL
